pandal_id,pandal_name,region,source_year,latitude,longitude,nearest_metro,nearest_metro_distance_km,nearest_railway_station,popularity_score,expected_crowd_level,famous,family_friendly,best_time_to_visit,theme,description,image_url,metro_assignment_note,geocode_query,geocode_status,geocoded_display_name,geocode_source,coordinate_status,location_status,queries_attempted,google_maps_url,openstreetmap_url
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,2025,22.596201,88.358241,Shobhabazar Sutanuti,0.5,Kolkata Railway Station,9.1,High,True,True,22:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/ahiritola_jubak_brinda_durga_puja.jpg,web-verified station address; locality-based assignment,"Ahiritola Jubak Brinda Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Ahiritola Jubak Brinda Durga Puja, Ahiritola Jubak Brinda, North Kolkata, Kolkata, West Bengal, 700005, India",OpenStreetMap Nominatim,valid,verified,"Ahiritola Jubak Brinda Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.596201,88.358241",https://www.openstreetmap.org/?mlat=22.596201&mlon=88.358241#map=17/22.596201/88.358241
2,Amherst Sarbojanin Durgotsab,North Kolkata,2025,22.584012,88.367345,Mahatma Gandhi Road,0.7,Howrah Junction,7.4,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/amherst_sarbojanin_durgotsab.jpg,web-verified station address; locality-based assignment,"Amherst Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India",success,"Amherst Sarbojanin Durgotsab, Amherst Durgotsab, North Kolkata, Kolkata, West Bengal, 700007, India",OpenStreetMap Nominatim,valid,verified,"Amherst Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.584012,88.367345",https://www.openstreetmap.org/?mlat=22.584012&mlon=88.367345#map=17/22.584012/88.367345
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,2025,22.612234,88.365123,Shyambazar,0.9,Kolkata Railway Station,7.5,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/aswiningar_sarbojanin_durgotsav.jpg,web-verified station address; locality-based assignment,"Aswiningar Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India",success,"Aswiningar Sarbojanin Durgotsav, Aswiningar, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Aswiningar Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.612234,88.365123",https://www.openstreetmap.org/?mlat=22.612234&mlon=88.365123#map=17/22.612234/88.365123
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,2025,22.603345,88.366289,Shyambazar,1.1,Kolkata Railway Station,9.4,High,True,True,22:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/baghbazar_palli_puja_o_pradarshani.jpg,web-verified station address; locality-based assignment,"Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, India",success,"Baghbazar Palli Puja O Pradarshani, Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.603345,88.366289",https://www.openstreetmap.org/?mlat=22.603345&mlon=88.366289#map=17/22.603345/88.366289
5,Bandhudal Durgotsob,North Kolkata,2025,22.603812,88.361534,Shyambazar,0.3,Kolkata Railway Station,7.7,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/bandhudal_durgotsob.jpg,web-verified station address; locality-based assignment,"Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, India",success,"Bandhudal Durgotsob, Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.603812,88.361534",https://www.openstreetmap.org/?mlat=22.603812&mlon=88.361534#map=17/22.603812/88.361534
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,2025,22.611623,88.371745,Shyambazar,0.5,Kolkata Railway Station,7.8,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/beadon_street_sarbojanin_durgotsav.jpg,web-verified station address; locality-based assignment,"Beadon Street Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India",success,"Beadon Street Sarbojanin Durgotsav, Beadon Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Beadon Street Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.611623,88.371745",https://www.openstreetmap.org/?mlat=22.611623&mlon=88.371745#map=17/22.611623/88.371745
7,Belgachia Sadharan Durgotsab,North Kolkata,2025,22.595412,88.381923,Shyambazar,0.7,Kolkata Railway Station,7.9,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/belgachia_sadharan_durgotsab.jpg,web-verified station address; locality-based assignment,"Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, India",success,"Belgachia Sadharan Durgotsab, Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.595412,88.381923",https://www.openstreetmap.org/?mlat=22.595412&mlon=88.381923#map=17/22.595412/88.381923
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,2025,22.603234,88.368145,Shyambazar,0.9,Kolkata Railway Station,8.0,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/belgachia_yuba_sammilani_durga_puja.jpg,web-verified station address; locality-based assignment,"Belgachia Yuba Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Belgachia Yuba Sammilani Durga Puja, Belgachia Yuba Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Belgachia Yuba Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.603234,88.368145",https://www.openstreetmap.org/?mlat=22.603234&mlon=88.368145#map=17/22.603234/88.368145
9,Bhagabati Park Durga Puja Committee,North Kolkata,2025,22.611012,88.378323,Shyambazar,1.1,Kolkata Railway Station,8.1,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/bhagabati_park_durga_puja_committee.jpg,web-verified station address; locality-based assignment,"Bhagabati Park Durga Puja Committee, North Kolkata, Kolkata, West Bengal, India",success,"Bhagabati Park Durga Puja Committee, Bhagabati Park, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Bhagabati Park Durga Puja Committee, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.611012,88.378323",https://www.openstreetmap.org/?mlat=22.611012&mlon=88.378323#map=17/22.611012/88.378323
10,Bharatiya Tarun Sangha Durga Puja,North Kolkata,2025,22.594823,88.364534,Shyambazar,0.3,Kolkata Railway Station,8.2,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/bharatiya_tarun_sangha_durga_puja.jpg,web-verified station address; locality-based assignment,"Bharatiya Tarun Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Bharatiya Tarun Sangha Durga Puja, Bharatiya Tarun Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Bharatiya Tarun Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.594823,88.364534",https://www.openstreetmap.org/?mlat=22.594823&mlon=88.364534#map=17/22.594823/88.364534
