pandal_id,pandal_name,region,established_era,pandal_art_type,art_philosophy,recent_and_current_themes,past_notable_themes,idol_sculpture_style,craftsmanship_and_materials,detailed_cultural_description,awards_and_accolades,latitude,longitude,facebook_page_url,instagram_handle,nearest_metro_station,special_attractions,visitor_tips_and_timing
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,1971 (Over 50 Years),Narrative Folk & Contemporary Theme,"Bridging North Kolkata historical heritage with deeply progressive socio-cultural dialogues, using light and shadow as visual metaphors of human enlightenment.",2025: Roshnai (The Soul of Light & Shadow) | 2024: Somoyer Chonde (Rhythms of Time) | 2023: Banglar Lok Shilpo (Bengal Folk Art),2025: Roshnai | 2024: Somoyer Chonde | 2023: Banglar Lok Shilpo | 2022: Antarshakti | 2018: Street Wall Graffiti on Water Scarcity,"Contemporary clay idol sculpted by master artists like Naba Kumar Paul, balancing classical iconography with expressive theatrical features.","Dynamic kinetic lighting installations, bamboo framework, hand-painted murals, jute fibers, and recycled urban textures.","Situated right next to the Ahiritola Ghat in the historic riverside district, Ahiritola Jubak Brinda seamlessly blends neighbourhood intimacy with expansive public art installations. Their pandals frequently spotlight pressing social concerns such as environmental sustainability, women empowerment, and Bengal's living folk artisan heritage.","Asian Paints Sharad Samman, Biswa Bangla Sharad Samman (Best Theme & Execution)",22.596201,88.358241,https://www.facebook.com/AhiritolaJubakBrinda/,@ahiritolajubakbrindadurg_kolkata,Shobhabazar Sutanuti,"Live demonstrations by rural Bengal folk craftspeople, sustainable natural installations (Dokra, Terracotta, Handloom), and rustic atmospheric village ambiance.","Visit during daytime (11:00 AM - 3:00 PM) to appreciate the natural colors, textures, and daylight detailing of the handicrafts."
2,Amherst Sarbojanin Durgotsab,North Kolkata,1972 (Over 54 Years),Grand Architectural Temple Replica,Bringing timeless sacred architecture from across the Indian subcontinent to Kolkata’s doorstep through meticulous sculptural imitation and light engineering.,2025: Grand Dravidian Temple of South India | 2024: Khajuraho Stone Carving Replica | 2023: Jagannath Puri Shrimandir Architecture,2025: Dravidian Temple | 2024: Khajuraho | 2023: Puri Shrimandir | 2022: Sun Temple Modhera | 2021: Golden Temple Amritsar,Majestic classical clay idol draped in opulent brocade and Benarasi silks with handcrafted filigree crowns.,"Thermocol relief panels, plaster carvings, fiberglass moldings, and extensive computer-controlled Chandannagar illumination gates.","Amherst Sarbojanin Durgotsab in North Kolkata dazzles festive crowds with its monumental architectural reproductions. Recreating historic temples and palaces down to the finest stone carving detail, it stands as a visual marvel that draws visitors from across Bengal.",Biswa Bangla Sharad Samman (Best Pandal Architecture & Lighting),22.584012,88.367345,https://www.facebook.com/AmherstSarbojaninDurgotsabKolkata/,@amherstsarbojanindurgots_kolkata,Mahatma Gandhi Road,"Colossal monumental architectural facade, dazzling 3D illuminated lighting gates by Chandannagar electrical artisans, and gold/jewel-adorned divine idol.",Expect very high footfall; visit during late midnight (1:30 AM to 4:30 AM) on Tritiya or Chaturthi to marvel at the exterior lighting with shorter lines.
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,1983 (Over 43 Years),Handloom & Traditional Handicraft Showcase,"Reviving endangered handloom weaves, bell-metal artistry, and indigenous handcraft traditions into a tactile visual sanctuary.",2025: Tant-O-Tanti (Tribute to Bengal Handloom Weavers) | 2024: Dokra O Pittol (Lost-Wax Bell Metal Magic) | 2023: Kantha-Stitch & Jamdani Odyssey,2025: Tant-O-Tanti | 2024: Dokra O Pittol | 2023: Kantha-Stitch Odyssey | 2022: Purulia Chhau Art | 2021: Shantiniketan Leather Craft,Artisan clay sculpture draped in authentic hand-woven Jamdani and Baluchari silk with bell-metal jewelry.,"Handloom wooden shuttle looms, thousands of yarn spools, Dokra brass castings, natural dyed cotton, and soft ambient flute ragas.","Aswiningar Sarbojanin Durgotsav in North Kolkata transforms its puja pavilion into an ode to Bengal’s hereditary weavers and metalworkers. Every nook of the pandal features genuine handcrafted textures, providing livelihoods to rural craftspeople and enchanting visitors with textile elegance.",Biswa Bangla Sharad Samman (Best Handicraft Craftsmanship),22.612234,88.365123,https://www.facebook.com/AswiningarSarbojaninDurgotsavKolkata/,@aswiningarsarbojanindurg_kolkata,Shyambazar,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,1919 (Century-old heritage),Heritage Traditional Sabeki,"Uncompromising adherence to classical Bengal barowari aesthetic; rejects modern conceptual installations in favor of immortal serenity, pristine white Sholar Saaj, and timeless devotional purity.","Everlasting Sabeki Pratima, Traditional Chandimandap Architecture, and Immortal Bengal Iconography.",2024: Century of Sabeki Heritage | 2023: Eternal Bengal Classical Splendor | 2022: Centennial Devotion & Sholar Saaj | Past: Pure Traditional Bengali Barowari,"Classic Ekchala Pratima adorned in intricate Sholar Saaj (pith work) and silver ornaments, with almond-shaped Trayanani eyes and majestic feline lion.","Clay sourced from the holy Ganges, organic chalk base paints, pure Shola (pith) filigree craft, and classical brass mangal-ghats.","Baghbazar Sarbojanin represents the soul of North Kolkata barowari culture. Established in 1919, it was one of the earliest community pujas associated with freedom fighters including Netaji Subhas Chandra Bose. The puja is globally renowned for its grand sabeki immersion procession on Dashami, the spectacular Sindur Khela, and the massive Birashtami exhibition ground beside the Hooghly river.","Biswa Bangla Sharad Samman (Heritage Category), All-Time Kolkata Heritage Icon",22.603345,88.366289,https://www.facebook.com/baghbazarsarbojanin/,@baghbazarpallipujaoprada_kolkata,Shyambazar,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
5,Bandhudal Durgotsob,North Kolkata,2005 (Over 21 Years),Thought-Provoking Social Theme Installation,"Using the public pandal as a canvas for social awakening, mental health discourse, environmental preservation, and women’s empowerment.",2025: Muktir Alo (Light of Liberation & Mental Well-being) | 2024: Jal-Dharoni (Water Conservation & Future Generations) | 2023: Nari Shakti (The Divine Feminine in Modern Times),2025: Muktir Alo | 2024: Jal-Dharoni | 2023: Nari Shakti | 2022: Somoyer Ayna | 2021: Punorutthan,Modern contemporary clay idol sculpted with empathetic figurative expressions that reflect the resilience of modern women.,"Recycled metal wires, earthen kulhars, distressed wood planks, kinetic light installations, and thematic voiceover soundscapes.","Bandhudal Durgotsob in North Kolkata stands out for its bold, socially conscious conceptual installations. The puja committee uses modern installation art to provoke thought on contemporary humanitarian and environmental issues while maintaining deep spiritual reverence.","Asian Paints Sharad Samman (Creative Concept), Biswa Bangla Social Awareness Award",22.603812,88.361534,https://www.facebook.com/BandhudalDurgotsobKolkata/,@bandhudaldurgotsob_kolkata,Shyambazar,"Experimental contemporary installation art, immersive spatial audio-visual storytelling, conceptual clay sculptures, and social reflection galleries.",Best experienced in the evening between 8:00 PM and midnight when thematic illumination and ambient acoustic soundscapes create an immersive sensory experience.
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,1951 (Over 75 Years),Eco-Friendly Vernacular Folk Art,Celebration of Bengal’s rural artisanal heritage and ecological harmony; utilizing sustainable organic raw materials to recreate village courtyards and tribal sanctuaries.,"2025: Banglar Mati, Banglar Haat (Folk Bazaar of Bengal) | 2024: Shobujer Prarthana (Ode to Green Earth) | 2023: Lok-Shilpo O Gramin Jibon",2025: Banglar Mati | 2024: Shobujer Prarthana | 2023: Lok-Shilpo | 2022: Patachitra Akhyan | 2021: Matir Gandho,"Terracotta-finished earthen clay idol with serene rustic expressions, painted with organic turmeric and chalk pigments.","Untreated bamboo strips, natural jute burlap, Bankura terracotta tiles, dry date-palm weaves, and warm incandescent glow.","Beadon Street Sarbojanin Durgotsav in North Kolkata is renowned for its organic, sustainable theme approach. Embracing rural folk heritage, the pandal transports urban visitors into the peaceful sanctuary of a Bengal village, highlighting forgotten indigenous crafts and eco-friendly craftsmanship.",Biswa Bangla Sharad Samman (Eco-Friendly / Handicraft Category),22.611623,88.371745,https://www.facebook.com/BeadonStreetSarbojaninDurgotsavKolkata/,@beadonstreetsarbojanindu_kolkata,Shyambazar,"Live demonstrations by rural Bengal folk craftspeople, sustainable natural installations (Dokra, Terracotta, Handloom), and rustic atmospheric village ambiance.","Visit during daytime (11:00 AM - 3:00 PM) to appreciate the natural colors, textures, and daylight detailing of the handicrafts."
7,Belgachia Sadharan Durgotsab,North Kolkata,1962 (Over 64 Years),Grand Architectural Temple Replica,Bringing timeless sacred architecture from across the Indian subcontinent to Kolkata’s doorstep through meticulous sculptural imitation and light engineering.,2025: Grand Dravidian Temple of South India | 2024: Khajuraho Stone Carving Replica | 2023: Jagannath Puri Shrimandir Architecture,2025: Dravidian Temple | 2024: Khajuraho | 2023: Puri Shrimandir | 2022: Sun Temple Modhera | 2021: Golden Temple Amritsar,Majestic classical clay idol draped in opulent brocade and Benarasi silks with handcrafted filigree crowns.,"Thermocol relief panels, plaster carvings, fiberglass moldings, and extensive computer-controlled Chandannagar illumination gates.","Belgachia Sadharan Durgotsab in North Kolkata dazzles festive crowds with its monumental architectural reproductions. Recreating historic temples and palaces down to the finest stone carving detail, it stands as a visual marvel that draws visitors from across Bengal.",Biswa Bangla Sharad Samman (Best Pandal Architecture & Lighting),22.595412,88.381923,https://www.facebook.com/BelgachiaSadharanDurgotsabKolkata/,@belgachiasadharandurgots_kolkata,Shyambazar,"Colossal monumental architectural facade, dazzling 3D illuminated lighting gates by Chandannagar electrical artisans, and gold/jewel-adorned divine idol.",Expect very high footfall; visit during late midnight (1:30 AM to 4:30 AM) on Tritiya or Chaturthi to marvel at the exterior lighting with shorter lines.
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,1973 (Over 53 Years),Handloom & Traditional Handicraft Showcase,"Reviving endangered handloom weaves, bell-metal artistry, and indigenous handcraft traditions into a tactile visual sanctuary.",2025: Tant-O-Tanti (Tribute to Bengal Handloom Weavers) | 2024: Dokra O Pittol (Lost-Wax Bell Metal Magic) | 2023: Kantha-Stitch & Jamdani Odyssey,2025: Tant-O-Tanti | 2024: Dokra O Pittol | 2023: Kantha-Stitch Odyssey | 2022: Purulia Chhau Art | 2021: Shantiniketan Leather Craft,Artisan clay sculpture draped in authentic hand-woven Jamdani and Baluchari silk with bell-metal jewelry.,"Handloom wooden shuttle looms, thousands of yarn spools, Dokra brass castings, natural dyed cotton, and soft ambient flute ragas.","Belgachia Yuba Sammilani Durga Puja in North Kolkata transforms its puja pavilion into an ode to Bengal’s hereditary weavers and metalworkers. Every nook of the pandal features genuine handcrafted textures, providing livelihoods to rural craftspeople and enchanting visitors with textile elegance.",Biswa Bangla Sharad Samman (Best Handicraft Craftsmanship),22.603234,88.368145,https://www.facebook.com/BelgachiaYubaSammilaniDurgaPujaKolkata/,@belgachiayubasammilanidu_kolkata,Shyambazar,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
9,Bhagabati Park Durga Puja Committee,North Kolkata,1984 (Over 42 Years),Heritage Traditional Sabeki,"Preservation of classical 19th-century zamindari and colonial Bengal devotional aesthetics, championing timeless Ekchala purity over modern conceptual gimmicks.",Timeless Sabeki Ekchala Protima with traditional Chandimandap architecture and thakur-dalan ambiance.,Nine decades of uncompromised classical Ekchala barowari traditions and devotion.,"Classic Ekchala idol adorned in shimmering Daker Saaj (pith and silver foil work), sporting fish-shaped elongated Trayanani eyes and royal lion mount.","Hooghly river clay, sholapith filigree work, beaten brass vessels, handcrafted wooden pillars, and traditional chandeliers.","Bhagabati Park Durga Puja Committee in North Kolkata is a proud custodian of traditional Sabeki heritage. Eschewing transient modern themes, it preserves the authentic spiritual ambiance of classic Bengal, marked by reverberating dhak beats, fragrant dhuno incense, and family-centered community devotion.",Biswa Bangla Sharad Samman (Heritage Tradition Category),22.611012,88.378323,https://www.facebook.com/BhagabatiParkDurgaPujaCommitteeKolkata/,@bhagabatiparkdurgapujaco_kolkata,Shyambazar,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
10,Bharatiya Tarun Sangha Durga Puja,North Kolkata,1995 (Over 31 Years),Thought-Provoking Social Theme Installation,"Using the public pandal as a canvas for social awakening, mental health discourse, environmental preservation, and women’s empowerment.",2025: Muktir Alo (Light of Liberation & Mental Well-being) | 2024: Jal-Dharoni (Water Conservation & Future Generations) | 2023: Nari Shakti (The Divine Feminine in Modern Times),2025: Muktir Alo | 2024: Jal-Dharoni | 2023: Nari Shakti | 2022: Somoyer Ayna | 2021: Punorutthan,Modern contemporary clay idol sculpted with empathetic figurative expressions that reflect the resilience of modern women.,"Recycled metal wires, earthen kulhars, distressed wood planks, kinetic light installations, and thematic voiceover soundscapes.","Bharatiya Tarun Sangha Durga Puja in North Kolkata stands out for its bold, socially conscious conceptual installations. The puja committee uses modern installation art to provoke thought on contemporary humanitarian and environmental issues while maintaining deep spiritual reverence.","Asian Paints Sharad Samman (Creative Concept), Biswa Bangla Social Awareness Award",22.594823,88.364534,https://www.facebook.com/BharatiyaTarunSanghaDurgaPujaKolkata/,@bharatiyatarunsanghadurg_kolkata,Shyambazar,"Experimental contemporary installation art, immersive spatial audio-visual storytelling, conceptual clay sculptures, and social reflection galleries.",Best experienced in the evening between 8:00 PM and midnight when thematic illumination and ambient acoustic soundscapes create an immersive sensory experience.
